tract,Name,Incarceration_Rate_rP_gP_pall,Incarceration_Rate_rP_gP_p75,Incarceration_Rate_rP_gP_p50,Incarceration_Rate_rP_gP_p25
6085506702,"San Tomas, Campbell, CA",0.0211,0.0232,0.0325,0.0762
6085508304,"Sunnyvale West, Sunnyvale, CA",0.0142,0.0145,0.0279,0.0746
6085506601,"Castro, San Jose, CA",0.0119,0.0122,0.0243,0.0333
6085508102,"Santa Clara, CA",0.011,0.012,0.0147,0.0283
6085506301,"West San Jose, San Jose, CA",0.0109,0.01,0.0126,0.0268
6085505900,"Santa Clara, CA",0.0108,0.0085,0.0124,0.0266
6085506304,"Blackford, San Jose, CA",0.01,0.0079,0.0117,0.0244
6085506101,"Santa Clara, CA",0.009,0.0074,0.0114,0.0226
6085506603,"San Tomas Aquinos, Campbell, CA",0.0081,0.006,0.0106,0.0218
6085508004,"Rancho Rinconada, Cupertino, CA",0.0077,0.0053,0.0096,0.0205
6085508203,"Sunnyvale, CA",0.0073,0.0047,0.0082,0.0205
6085507206,"Monte Sereno, CA",0.0071,0.0045,0.0076,0.0171
6085506701,"San Tomas, Campbell, CA",0.0069,0.0045,0.0072,0.0167
6085507805,"Cupertino, CA",0.0063,0.0043,0.0071,0.013
6085506204,"Strawberry Park, San Jose, CA",0.0058,0.0043,0.0069,0.0125
6085506103,"Santa Clara, CA",0.0046,0.0042,0.0069,0.0114
6085506305,"West San Jose, San Jose, CA",0.0045,0.0042,0.0067,0.0113
6085507402,"Quito Village, Saratoga, CA",0.0043,0.0038,0.0066,0.0105
6085506203,"West San Jose, San Jose, CA",0.004,0.0032,0.0066,0.0104
6085506703,"San Tomas, Campbell, CA",0.0038,0.0031,0.0065,0.0089
6085507301,"Saratoga, CA",0.0035,0.0028,0.0055,0.0088
6085506605,"West San Jose, San Jose, CA",0.0032,0.0028,0.0051,0.0087
6085505403,"Santa Clara, CA",0.0029,0.0028,0.0049,0.0084
6085507808,"Cupertino, CA",0.0027,0.0026,0.0044,0.0074
6085506202,"Country Lane, San Jose, CA",0.0026,0.0025,0.0042,0.007
6085505500,"Santa Clara, CA",0.0025,0.0025,0.004,0.0063
6085507903,"Joaquin Miller, San Jose, CA",0.0023,0.0024,0.0039,0.0061
6085508301,"Sunnyvale, CA",0.002,0.0023,0.0034,0.0059
6087120500,"Boulder Creek, CA",0.002,0.0023,0.003,0.0058
6085506604,"West San Jose, San Jose, CA",0.0017,0.0023,0.003,0.0058
6085506000,"Santa Clara, CA",0.0016,0.0023,0.003,0.0054
6085505402,"Santa Clara, CA",0.0015,0.0019,0.0029,0.0052
6085507701,"Cupertino, CA",0.0015,0.0019,0.0024,0.0042
6085511707,"Cupertino, CA",0.0015,0.0019,0.0024,0.0042
6085508003,"Rancho Rinconada, Cupertino, CA",0.0012,0.0017,0.0023,0.0036
6085507906,"West San Jose, San Jose, CA",0.0012,0.0016,0.0022,0.003
6085508001,"Cupertino, CA",0.0012,0.0015,0.0017,0.0027
6085511704,"Los Altos Hills, CA",0.001,0.0014,0.0017,0.0027
6085507703,"Cupertino, CA",0.001,0.0013,0.0017,0.0021
6085508204,"Panama Park, Sunnyvale, CA",0.0009,0.0009,0.0014,0.0018
6085508202,"Birdland Neighbors, Sunnyvale, CA",0.0007,0.0006,0.0012,0.0016
6085508303,"Sunnyvale West, Sunnyvale, CA",0.0006,0.0005,0.0008,0.0015
6085507401,"Golden Triangle, Saratoga, CA",0.0004,0.0004,0.0008,0.0011
6085508101,"Cupertino, CA",0.0003,0.0003,0.0008,0.001
6085506606,"Campbell, CA",0.0003,0,0.0005,0.0007
6085507806,"Cupertino, CA",0.0002,0,0.0004,0.0004
6085507205,"Los Gatos, CA",0.0002,0,0.0003,0
6085511702,"Country Club, Los Altos, CA",0,0,0.0003,0
6085507905,"West San Jose, San Jose, CA",0,0,0.0003,0
6081613800,"Pescadero, CA",0,0,0.0002,0
6085510002,"South Los Altos, Los Altos, CA",0,0,0,0
6085506102,"Santa Clara, CA",0,0,0,0
6085507600,"Saratoga, CA",0,0,0,0
6085507500,"Saratoga, CA",0,0,0,0
6085510100,"Woodland Acres - The Highlands, Los Altos, CA",0,0,0,0
6085507203,"Los Gatos, CA",0,0,0,0
6085507302,"Saratoga, CA",0,0,0,0
6085507807,"Cupertino, CA",0,0,0,0
6085507904,"Lynbrook, San Jose, CA",0,0,0,0
6085507702,"Cupertino, CA",0,0,0,0
