"tract","Name","Fraction_Non-White_in_2010"
6085507806,"Cupertino, CA",0.8217
6085507807,"Cupertino, CA",0.8136
6085507905,"West San Jose, San Jose, CA",0.7951
6085507808,"Cupertino, CA",0.7827
6085506203,"West San Jose, San Jose, CA",0.7806
6085507903,"Joaquin Miller, San Jose, CA",0.7651
6085507906,"West San Jose, San Jose, CA",0.7516
6085508101,"Cupertino, CA",0.7295
6085508001,"Cupertino, CA",0.711
6085508004,"Rancho Rinconada, Cupertino, CA",0.7108
6085508102,"Santa Clara, CA",0.7073
6085506305,"West San Jose, San Jose, CA",0.706
6085507805,"Cupertino, CA",0.6993
6085507904,"Lynbrook, San Jose, CA",0.6893
6085506304,"Blackford, San Jose, CA",0.6858
6085508304,"Sunnyvale West, Sunnyvale, CA",0.6775
6085507702,"Cupertino, CA",0.675
6085507701,"Cupertino, CA",0.6749
6085508003,"Rancho Rinconada, Cupertino, CA",0.6719
6085508204,"Panama Park, Sunnyvale, CA",0.6626
6085505403,"Santa Clara, CA",0.6493
6085506204,"Strawberry Park, San Jose, CA",0.6331
6085505402,"Santa Clara, CA",0.6256
6085507401,"Golden Triangle, Saratoga, CA",0.6042
6085506103,"Santa Clara, CA",0.5965
6085506301,"West San Jose, San Jose, CA",0.5889
6085507703,"Cupertino, CA",0.5868
6085507500,"Saratoga, CA",0.5854
6085508202,"Birdland Neighbors, Sunnyvale, CA",0.5813
6085508203,"Sunnyvale, CA",0.5795
6085506601,"Castro, San Jose, CA",0.548
6085506605,"West San Jose, San Jose, CA",0.5369
6085506606,"Campbell, CA",0.5307
6085506102,"Santa Clara, CA",0.5244
6085506202,"Country Lane, San Jose, CA",0.52
6085506000,"Santa Clara, CA",0.5044
6085505900,"Santa Clara, CA",0.49
6085507600,"Saratoga, CA",0.4853
6085506101,"Santa Clara, CA",0.4752
6085505500,"Santa Clara, CA",0.4751
6085506604,"West San Jose, San Jose, CA",0.459
6085508301,"Sunnyvale, CA",0.4583
6085506702,"San Tomas, Campbell, CA",0.4407
6085506701,"San Tomas, Campbell, CA",0.4112
6085507402,"Quito Village, Saratoga, CA",0.4089
6085508303,"Sunnyvale West, Sunnyvale, CA",0.4075
6085506603,"San Tomas Aquinos, Campbell, CA",0.4042
6085507301,"Saratoga, CA",0.3908
6085506703,"San Tomas, Campbell, CA",0.3743
6085510002,"South Los Altos, Los Altos, CA",0.3552
6085511704,"Los Altos Hills, CA",0.3389
6085510100,"Woodland Acres - The Highlands, Los Altos, CA",0.3236
6081613800,"Pescadero, CA",0.3211
6085511702,"Country Club, Los Altos, CA",0.3085
6085511707,"Cupertino, CA",0.2984
6085507302,"Saratoga, CA",0.2947
6085507203,"Los Gatos, CA",0.291
6085507206,"Monte Sereno, CA",0.2372
6085507205,"Los Gatos, CA",0.2255
6087120500,"Boulder Creek, CA",0.1349
