"tract","Name","Fraction_Non-White_in_2010"
24510250204,"Cherry Hill, Baltimore, MD",0.9952
24510200701,"Allendale, Baltimore, MD",0.9952
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.9951
24510080302,"Berea, Baltimore, MD",0.9949
24510160700,"Rosemont, Baltimore, MD",0.9943
24510100200,"Baltimore, MD",0.9935
24510160600,"Mosher, Baltimore, MD",0.9934
24510160802,"Edmondson, Baltimore, MD",0.9931
24510150200,"Sandtown-Winchester, Baltimore, MD",0.993
24510080500,"Darley Park, Baltimore, MD",0.993
24510150300,"Coppin Heights, Baltimore, MD",0.9927
24510160801,"Edmondson, Baltimore, MD",0.9924
24510150701,"Hanlon Longwood, Baltimore, MD",0.9923
24510151300,"Central Park Heights, Baltimore, MD",0.9921
24510180100,"Poppleton, Baltimore, MD",0.9918
24510080301,"Berea, Baltimore, MD",0.9918
24510160400,"Midtown Edmondson, Baltimore, MD",0.9917
24510170300,"Upton, Baltimore, MD",0.9915
24510280402,"Rognel Heights, Baltimore, MD",0.9911
24510150500,"Burleith-Leighton, Baltimore, MD",0.9909
24510150600,"NW Community Action, Baltimore, MD",0.9906
24510151100,"East Arlington, Baltimore, MD",0.99
24510160200,"Sandtown-Winchester, Baltimore, MD",0.9897
24510080200,"Broadway East, Baltimore, MD",0.9893
24510150100,"Sandtown-Winchester, Baltimore, MD",0.9891
24510271802,"Langston Hughes, Baltimore, MD",0.989
24510150400,"Mondawmin, Baltimore, MD",0.9887
24510080800,"Broadway East, Baltimore, MD",0.9883
24510271801,"Arlington, Baltimore, MD",0.988
24510200200,"Lexington, Baltimore, MD",0.9879
24510090800,"East Baltimore Midway, Baltimore, MD",0.9876
24510090900,"Oliver, Baltimore, MD",0.9874
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.9873
24510070400,"Gay Street, Baltimore, MD",0.9863
24510150800,"Garwyn Oaks, Baltimore, MD",0.986
24510150702,"Walbrook, Baltimore, MD",0.986
24510280102,"Gwynn Oak, Baltimore, MD",0.9858
24510160100,"Harlem Park, Baltimore, MD",0.9858
24510080700,"Broadway East, Baltimore, MD",0.985
24510190100,"Franklin Square, Baltimore, MD",0.9842
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.9841
24510100100,"Johnson Square, Baltimore, MD",0.984
24510160300,"Sandtown-Winchester, Baltimore, MD",0.9827
24510200100,"Lexington, Baltimore, MD",0.9827
24510151200,"Park Circle, Baltimore, MD",0.9824
24510151000,"Dorchester, Baltimore, MD",0.9824
24510080600,"Broadway East, Baltimore, MD",0.9806
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.9806
24510270901,"New Northwood, Baltimore, MD",0.9805
24510200702,"Saint Joseph's, Baltimore, MD",0.9804
24510150900,"Windsor Hills, Baltimore, MD",0.98
24510130300,"Penn North, Baltimore, MD",0.9797
24510080102,"Belair - Edison, Baltimore, MD",0.9785
24510271600,"Edgecomb, Baltimore, MD",0.9783
24510130400,"Woodbrook, Baltimore, MD",0.9781
24510070200,"Madison - Eastend, Baltimore, MD",0.9773
24510250207,"Cherry Hill, Baltimore, MD",0.9743
24510200400,"Shipley Hill, Baltimore, MD",0.974
24510271002,"Winston - Govans, Baltimore, MD",0.9729
24510080400,"Broadway East, Baltimore, MD",0.9725
24510271001,"Baltimore, MD",0.9721
24510250203,"Cherry Hill, Baltimore, MD",0.9718
24510280200,"Gwynn Oak, Baltimore, MD",0.9689
24005402304,"Gwynn Oak, Baltimore, MD",0.9688
24510260403,"Cedonia, Baltimore, MD",0.9676
24510070300,"Milton - Montford, Baltimore, MD",0.9674
24005402404,"Gwynn Oak, Lochearn, MD",0.9673
24510140200,"Upton, Baltimore, MD",0.9657
